commune_code,commune,province,region,region_code,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
1101,Iquique,Iquique,Región de Tarapacá,1.0,fixed,2026Q1,87.0,5292.0,1794.0,443.733,368.08,21.698,330.144,245.284,2026Q2,91.0,4994.0,1813.0,475.773,392.641,22.709,346.582,251.807,32.04,7.221,24.561,6.673,1.011,4.659
1101,Iquique,Iquique,Región de Tarapacá,1.0,mobile,2026Q1,98.0,667.0,390.0,85.075,22.932,58.999,1444.575,1233.978,2026Q2,85.0,870.0,396.0,71.311,23.954,49.577,1491.934,1095.592,-13.764,-16.179,1.022,4.457,-9.422,-15.97
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,fixed,2026Q1,74.0,2941.0,978.0,407.473,323.401,23.209,372.508,262.126,2026Q2,90.0,3648.0,1150.0,462.565,369.59,23.352,333.753,228.708,55.092,13.52,46.189,14.282,0.143,0.616
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,mobile,2026Q1,66.0,522.0,236.0,55.12,17.989,55.789,1826.824,1275.475,2026Q2,66.0,696.0,255.0,59.783,17.699,51.869,1673.767,1334.464,4.663,8.46,-0.29,-1.612,-3.92,-7.026
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,fixed,2026Q1,76.0,412.0,164.0,205.55,144.286,33.682,476.801,406.731,2026Q2,85.0,488.0,171.0,174.428,113.581,33.803,552.195,405.381,-31.122,-15.141,-30.705,-21.281,0.121,0.359
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,mobile,2026Q1,53.0,233.0,101.0,74.091,15.816,60.185,1572.773,1329.163,2026Q2,71.0,359.0,128.0,83.384,17.878,52.379,1457.513,1237.596,9.293,12.543,2.062,13.037,-7.806,-12.97
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,fixed,2026Q1,4.0,5.0,4.0,277.804,33.294,45.6,167.6,61.2,2026Q2,2.0,7.0,3.0,355.671,38.165,46.571,202.143,59.143,77.867,28.029,4.871,14.63,0.971,2.129
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,mobile,2026Q1,3.0,7.0,4.0,140.451,10.712,72.857,996.286,1031.429,2026Q2,6.0,28.0,9.0,152.736,22.518,49.929,1154.357,876.393,12.285,8.747,11.806,110.213,-22.928,-31.47
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,fixed,2026Q1,7.0,17.0,9.0,114.408,22.545,45.647,310.353,282.765,2026Q2,7.0,13.0,7.0,204.89,15.193,132.615,566.385,726.769,90.482,79.087,-7.352,-32.61,86.968,190.523
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,mobile,2026Q1,2.0,2.0,2.0,16.524,4.994,114.5,4553.0,1493.0,2026Q2,5.0,16.0,5.0,43.852,6.781,73.75,832.75,634.25,27.328,165.384,1.787,35.783,-40.75,-35.59
1404,Huara,Tamarugal,Región de Tarapacá,1.0,fixed,2026Q1,12.0,47.0,15.0,199.154,78.394,67.277,301.362,225.404,2026Q2,17.0,71.0,21.0,134.809,80.866,60.338,388.859,260.07,-64.345,-32.309,2.472,3.153,-6.939,-10.314
1404,Huara,Tamarugal,Región de Tarapacá,1.0,mobile,2026Q1,26.0,113.0,37.0,42.588,10.277,53.522,1911.832,1908.292,2026Q2,14.0,31.0,19.0,137.428,35.947,46.032,1022.433,1352.677,94.84,222.692,25.67,249.781,-7.49,-13.994
1405,Pica,Tamarugal,Región de Tarapacá,1.0,fixed,2026Q1,37.0,180.0,94.0,146.002,105.263,47.45,571.233,632.922,2026Q2,48.0,240.0,100.0,192.971,119.896,48.079,380.77,363.875,46.969,32.17,14.633,13.901,0.629,1.326
1405,Pica,Tamarugal,Región de Tarapacá,1.0,mobile,2026Q1,36.0,130.0,63.0,90.451,16.155,48.254,1208.651,1440.138,2026Q2,39.0,190.0,77.0,49.906,13.069,51.905,1733.047,1430.742,-40.545,-44.825,-3.086,-19.102,3.651,7.566
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,fixed,2026Q1,240.0,10299.0,3459.0,452.314,379.847,15.788,269.393,236.847,2026Q2,244.0,11119.0,3482.0,466.609,398.577,15.073,270.022,233.703,14.295,3.16,18.73,4.931,-0.715,-4.529
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,mobile,2026Q1,220.0,1707.0,787.0,82.831,21.341,38.596,1849.167,1214.757,2026Q2,253.0,1723.0,820.0,79.854,20.549,42.784,1718.134,1164.055,-2.977,-3.594,-0.792,-3.711,4.188,10.851
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,fixed,2026Q1,29.0,233.0,92.0,220.136,196.28,16.73,241.515,235.236,2026Q2,23.0,270.0,68.0,280.688,285.462,7.174,397.452,388.611,60.552,27.507,89.182,45.436,-9.556,-57.119
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,mobile,2026Q1,31.0,140.0,57.0,60.092,15.274,45.021,1904.457,874.136,2026Q2,46.0,218.0,75.0,71.438,17.913,45.014,1230.528,994.156,11.346,18.881,2.639,17.278,-0.007,-0.016
2103,Sierra Gorda,Antofagasta,Región de Antofagasta,2.0,fixed,2026Q1,49.0,140.0,88.0,121.962,32.01,32.764,509.557,365.321,2026Q2,49.0,211.0,94.0,125.706,43.829,30.578,382.393,254.142,3.744,3.07,11.819,36.923,-2.186,-6.672
