commune_code,commune,province,region,network,current_period,current_tests,current_download_mbps_test_weighted,mean_tests_q1_q2,mean_tests_q1_q2_reference,above_mean_tests_reference,validation_basis,rank_speed_desc_validated,rank_speed_asc_validated
5804,Villa Alemana,Marga Marga,Región de Valparaíso,fixed,2026Q2,5180.0,445.252,4737.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,31,53
13101,Santiago,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,18376.0,445.19,17872.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,32,52
6108,Machalí,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,2161.0,444.871,2207.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,33,51
5801,Quilpué,Marga Marga,Región de Valparaíso,fixed,2026Q2,4486.0,444.224,4419.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,34,50
13604,Padre Hurtado,Talagante,Región Metropolitana de Santiago,fixed,2026Q2,2902.0,443.435,2870.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,35,49
13127,Recoleta,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4033.0,443.337,3953.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,36,48
15101,Arica,Arica,Región de Arica y Parinacota,fixed,2026Q2,4871.0,442.97,4895.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,37,47
4101,La Serena,Elqui,Región de Coquimbo,fixed,2026Q2,7525.0,442.553,7821.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,38,46
7101,Talca,Talca,Región del Maule,fixed,2026Q2,5967.0,441.892,5731.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,39,45
13605,Peñaflor,Talagante,Región Metropolitana de Santiago,fixed,2026Q2,2535.0,440.149,2731.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,40,44
13122,Peñalolén,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,7443.0,439.921,7979.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,41,43
13103,Cerro Navia,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,3092.0,437.96,2917.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,42,42
5109,Viña del Mar,Valparaíso,Región de Valparaíso,fixed,2026Q2,11444.0,436.858,11586.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,43,41
4102,Coquimbo,Elqui,Región de Coquimbo,fixed,2026Q2,7603.0,436.081,7494.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,44,40
13116,Lo Espejo,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,1865.0,435.771,1674.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,45,39
13124,Pudahuel,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,6906.0,435.663,6785.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,46,38
2201,Calama,El Loa,Región de Antofagasta,fixed,2026Q2,4060.0,435.439,4328.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,47,37
5501,Quillota,Quillota,Región de Valparaíso,fixed,2026Q2,2352.0,433.607,2341.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,48,36
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,6412.0,433.51,6161.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,49,35
13123,Providencia,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,10801.0,433.405,10331.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,50,34
13128,Renca,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,4314.0,432.859,3773.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,51,33
13117,Lo Prado,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2191.0,432.19,2113.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,52,32
6115,Rengo,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,1642.0,431.79,1674.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,53,31
13121,Pedro Aguirre Cerda,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,2326.0,428.994,2084.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,54,30
5301,Los Andes,Los Andes,Región de Valparaíso,fixed,2026Q2,1721.0,425.819,1573.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,55,29
13113,La Reina,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,5134.0,425.513,5034.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,56,28
13107,Huechuraba,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,6007.0,425.218,5671.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,57,27
8103,Chiguayante,Concepción,Región del Bío-Bío,fixed,2026Q2,2290.0,424.801,2062.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,58,26
9101,Temuco,Cautín,Región de La Araucanía,fixed,2026Q2,8783.0,424.505,8383.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,59,25
5103,Concón,Valparaíso,Región de Valparaíso,fixed,2026Q2,2741.0,424.495,2779.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,60,24
3101,Copiapó,Copiapó,Región de Atacama,fixed,2026Q2,5096.0,421.413,4452.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,61,23
13402,Buin,Maipo,Región Metropolitana de Santiago,fixed,2026Q2,5241.0,421.099,4984.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,62,22
5101,Valparaíso,Valparaíso,Región de Valparaíso,fixed,2026Q2,6047.0,418.536,6553.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,63,21
13114,Las Condes,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,23768.0,416.772,22517.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,64,20
5601,San Antonio,San Antonio,Región de Valparaíso,fixed,2026Q2,2205.0,416.361,2104.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,65,19
4301,Ovalle,Limarí,Región de Coquimbo,fixed,2026Q2,2101.0,407.545,2052.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,66,18
12101,Punta Arenas,Magallanes,Región de Magallanes y Antártica Chilena,fixed,2026Q2,1910.0,407.131,1663.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,67,17
14101,Valdivia,Valdivia,Región de Los Ríos,fixed,2026Q2,3725.0,406.888,3725.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,68,16
13302,Lampa,Chacabuco,Región Metropolitana de Santiago,fixed,2026Q2,5846.0,396.427,5374.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,69,15
7301,Curicó,Curicó,Región del Maule,fixed,2026Q2,4299.0,395.739,4045.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,70,14
6301,San Fernando,Colchagua,Región del Libertador Bernardo O'Higgins,fixed,2026Q2,1787.0,387.923,1672.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,71,13
5802,Limache,Marga Marga,Región de Valparaíso,fixed,2026Q2,1692.0,384.506,1668.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,72,12
13132,Vitacura,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,7534.0,379.975,6982.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,73,11
13601,Talagante,Talagante,Región Metropolitana de Santiago,fixed,2026Q2,2270.0,376.464,2264.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,74,10
13301,Colina,Chacabuco,Región Metropolitana de Santiago,fixed,2026Q2,9777.0,366.862,9408.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,75,9
7401,Linares,Linares,Región del Maule,fixed,2026Q2,2440.0,365.535,2555.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,76,8
13404,Paine,Maipo,Región Metropolitana de Santiago,fixed,2026Q2,2170.0,353.642,2047.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,77,7
10109,Puerto Varas,Llanquihue,Región de Los Lagos,fixed,2026Q2,1994.0,348.78,2059.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,78,6
9120,Villarrica,Cautín,Región de La Araucanía,fixed,2026Q2,3063.0,346.053,3636.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,79,5
8301,Los Ángeles,Bío-Bío,Región del Bío-Bío,fixed,2026Q2,6196.0,345.257,5734.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,80,4
13501,Melipilla,Melipilla,Región Metropolitana de Santiago,fixed,2026Q2,3714.0,331.227,3790.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,81,3
13115,Lo Barnechea,Santiago,Región Metropolitana de Santiago,fixed,2026Q2,8536.0,322.39,8284.0,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,82,2
9115,Pucón,Cautín,Región de La Araucanía,fixed,2026Q2,1629.0,265.565,2054.5,1545.807917888563,True,fixed_above_mean_q1_q2_test_volume_descriptive_not_statistical_representativeness,83,1
13114,Las Condes,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,4244.0,145.423,4965.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,1,25
13123,Providencia,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,2167.0,140.468,1959.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,2,24
13120,Ñuñoa,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,1507.0,125.832,1459.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,3,23
13110,La Florida,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,1799.0,119.509,1693.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,4,22
13101,Santiago,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,5140.0,118.141,4934.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,5,21
13119,Maipú,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,2510.0,109.48,2488.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,6,20
5109,Viña del Mar,Valparaíso,Región de Valparaíso,mobile,2026Q2,2521.0,103.145,2792.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,7,19
4101,La Serena,Elqui,Región de Coquimbo,mobile,2026Q2,1652.0,98.904,1648.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,8,18
9101,Temuco,Cautín,Región de La Araucanía,mobile,2026Q2,1883.0,98.141,1905.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,9,17
5101,Valparaíso,Valparaíso,Región de Valparaíso,mobile,2026Q2,1777.0,97.719,1812.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,10,16
13124,Pudahuel,Santiago,Región Metropolitana de Santiago,mobile,2026Q2,1572.0,97.683,1520.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,11,15
14101,Valdivia,Valdivia,Región de Los Ríos,mobile,2026Q2,1024.0,97.422,1038.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,12,14
8101,Concepción,Concepción,Región del Bío-Bío,mobile,2026Q2,1234.0,95.135,1272.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,13,13
7101,Talca,Talca,Región del Maule,mobile,2026Q2,1387.0,93.241,1414.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,14,12
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,mobile,2026Q2,1817.0,92.899,1767.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,15,11
13201,Puente Alto,Cordillera,Región Metropolitana de Santiago,mobile,2026Q2,2119.0,91.12,1998.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,16,10
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,mobile,2026Q2,1258.0,88.536,1221.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,17,9
4102,Coquimbo,Elqui,Región de Coquimbo,mobile,2026Q2,1297.0,87.385,1646.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,18,8
16101,Chillán,Ñuble,Región de Ñuble,mobile,2026Q2,1077.0,86.985,1033.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,19,7
10101,Puerto Montt,Llanquihue,Región de Los Lagos,mobile,2026Q2,1933.0,84.995,1776.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,20,6
8301,Los Ángeles,Bío-Bío,Región del Bío-Bío,mobile,2026Q2,1438.0,84.894,1472.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,21,5
13301,Colina,Chacabuco,Región Metropolitana de Santiago,mobile,2026Q2,1313.0,84.374,1142.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,22,4
2201,Calama,El Loa,Región de Antofagasta,mobile,2026Q2,1034.0,82.813,1019.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,23,3
15101,Arica,Arica,Región de Arica y Parinacota,mobile,2026Q2,1494.0,81.307,1304.5,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,24,2
2101,Antofagasta,Antofagasta,Región de Antofagasta,mobile,2026Q2,1723.0,79.854,1715.0,357.533724340176,True,mobile_mean_q1_q2_tests_ge_1000_descriptive_not_statistical_representativeness,25,1
