period,indicator,value,unit,statistic_type,universe_or_basis,source_page,source_url,notes
2026-06,fixed_internet_accesses,4900369,connections,observed,all fixed internet accesses,17,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Exact access count reported by SUBTEL
2026-06,fixed_internet_yoy_growth,3.3,percent,derived_official,all fixed internet accesses,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,mobile_internet_3g4g5g_accesses,22591000,connections,published_rounded,3G+4G+5G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 22.591 thousand accesses
2026-06,mobile_internet_yoy_growth,-0.4,percent,derived_official,3G+4G+5G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,accesses_4g,11446000,connections,observed,4G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Value reported as 11.446 thousand and consistent with the exact published 4G-5G gap
2026-06,accesses_4g_yoy_growth,-16.8,percent,derived_official,4G mobile accesses,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,accesses_5g,10818497,connections,observed,5G mobile accesses,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Exact access count reported by SUBTEL
2026-06,accesses_5g_yoy_growth,31.8,percent,derived_official,5G mobile accesses,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,accesses_4g_minus_5g_gap,627503,connections,derived_official,4G accesses minus 5G accesses,news,https://www.subtel.gob.cl/estadisticas-1o-semestre-subtel-el-5g-avanza-a-paso-firme-para-alcanzar-al-4g-y-brecha-se-reduce-a-solo-627-mil-conexiones/,Exact gap explicitly published by SUBTEL
2026-06,total_internet_fixed_plus_mobile_accesses,27500000,connections,published_rounded,fixed plus 3G+4G+5G mobile internet accesses,7,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 27.5 million accesses
2026-06,total_internet_penetration_per_100_people,136.4,accesses_per_100_people,official_indicator,fixed plus 3G+4G+5G mobile internet accesses,7,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,mobile_internet_penetration_per_100_people,112.1,accesses_per_100_people,official_indicator,3G+4G+5G mobile internet accesses,11,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,fixed_internet_penetration_per_100_people,24.3,accesses_per_100_people,official_indicator,all fixed internet accesses,17,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,fixed_household_penetration_national,70.36,percent,official_estimate,residential fixed connections divided by Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Estimated household coverage using Censo 2024 household counts
2026-06,fixed_household_penetration_urban,77.3,percent,official_estimate,residential fixed connections and urban Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Estimated household coverage
2026-06,fixed_household_penetration_rural,25.5,percent,official_estimate,residential fixed connections and rural Censo 2024 households,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Estimated household coverage
2026-06,fixed_connections_urban_share,95.1,percent,observed,all fixed internet connections classified by area,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Share of connections located in urban areas
2026-06,fixed_connections_rural_share,4.9,percent,observed,all fixed internet connections classified by area,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Share of connections located in rural areas
2026-06,fiber_share_fixed_connections,87.3,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Technology share within fixed internet
2026-06,hfc_share_fixed_connections,8.8,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Technology share within fixed internet
2026-06,other_wireless_share_fixed_connections,3.8,percent,observed,all fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Technology share within fixed internet
2026-06,fiber_yoy_growth,20.7,percent,derived_official,fiber fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,fixed_residential_share,94.7,percent,observed,all fixed internet connections,17,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Residential share of fixed accesses
2026-06,fixed_commercial_share,5.3,percent,observed,all fixed internet connections,17,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Commercial share of fixed accesses
2026-06,fixed_traffic_12m,37.1211,exabytes,observed,traffic accumulated Jul 2025-Jun 2026,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Annual accumulated fixed data traffic
2026-06,mobile_traffic_12m,7.7593,exabytes,observed,traffic accumulated Jul 2025-Jun 2026,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Annual accumulated mobile data traffic
2026-06,fixed_traffic_yoy_growth,6.6,percent,derived_official,traffic accumulated Jul 2025-Jun 2026,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,mobile_traffic_yoy_growth,16.1,percent,derived_official,traffic accumulated Jul 2025-Jun 2026,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,fixed_traffic_per_connection,699.4,GB_per_connection,official_indicator,fixed internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,mobile_traffic_per_connection,30.8,GB_per_connection,official_indicator,mobile internet connections,3,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,m2m_mobile_accesses,500464,connections,observed,M2M within 3G+4G+5G mobile accesses,12,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Machine-to-machine connections
2026-06,m2m_share_mobile_accesses,2.2,percent,observed,M2M within 3G+4G+5G mobile accesses,12,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Share of mobile internet connections
2026-06,m2m_yoy_growth,-21.6,percent,derived_official,M2M within 3G+4G+5G mobile accesses,12,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,total_telecom_services,55000000,services,published_rounded,voice fixed + voice mobile + fixed internet + mobile internet + pay TV,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 55 million services; service counts are not unique persons
2026-06,pay_tv_subscribers,2477000,connections,published_rounded,pay TV subscribers,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 2.477 thousand subscribers
2026-06,pay_tv_yoy_growth,-8.6,percent,derived_official,pay TV subscribers,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,pay_tv_household_penetration,37.5,percent,official_estimate,pay TV subscribers divided by Censo 2024 households,4,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Reported by SUBTEL
2026-06,fixed_voice_lines,1404000,lines,published_rounded,fixed telephone lines,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 1.404 thousand lines
2026-06,fixed_voice_yoy_growth,-11.3,percent,derived_official,fixed telephone lines,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,mobile_voice_subscribers,23717000,subscribers,published_rounded,mobile telephone subscribers,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Published as 23.717 thousand subscribers
2026-06,mobile_voice_yoy_growth,-2.1,percent,derived_official,mobile telephone subscribers,2,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Interannual change reported by SUBTEL
2026-06,mobile_internet_share_entel,35.2,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,mobile_internet_share_wom,24.3,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,mobile_internet_share_clarovtr,21.0,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,mobile_internet_share_movistar,18.5,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,mobile_internet_share_others,0.8,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,mobile_internet_share_virgin,0.2,percent,observed,3G+4G+5G mobile internet accesses,13,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_movistar,26.5,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_clarovtr,26.0,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_mundo,21.2,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_entel,11.0,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_others,9.2,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fixed_internet_share_gtd,6.2,percent,observed,all fixed internet connections,20,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator market share
2026-06,fiber_share_movistar,30.4,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
2026-06,fiber_share_mundo_pacifico,24.3,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
2026-06,fiber_share_clarovtr,19.6,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
2026-06,fiber_share_entel,12.5,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections; PDF used as canonical source
2026-06,fiber_share_gtd,6.9,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
2026-06,fiber_share_wom,5.1,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
2026-06,fiber_share_others,1.3,percent,observed,fiber optic fixed connections,21,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,Operator share within fiber optic connections
